"filename", "language", "HTML", "JavaScript", "Markdown", "PostCSS", "XML", "JSON", "Lua", "comment", "blank", "total"
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\temporarily\awards\50.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\temporarily\awards\enot.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\temporarily\awards\only.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\temporarily\awards\star.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\temporarily\awards\енот.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\temporarily\status\discontinued.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\temporarily\status\none.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\temporarily\status\relesed.svg", "XML", 0, 0, 0, 0, 2, 0, 0, 1, 0, 3
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\upload ai.html", "HTML", 189, 0, 0, 0, 0, 0, 0, 1, 9, 199
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\upload.html", "HTML", 334, 0, 0, 0, 0, 0, 0, 11, 2, 347
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\upload\upload ai.css", "PostCSS", 0, 0, 0, 92, 0, 0, 0, 1, 17, 110
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\upload\upload ai.js", "JavaScript", 0, 49, 0, 0, 0, 0, 0, 9, 11, 69
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\upload\upload.css", "PostCSS", 0, 0, 0, 108, 0, 0, 0, 1, 20, 129
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\library\upload\upload.js", "JavaScript", 0, 221, 0, 0, 0, 0, 0, 29, 46, 296
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\roadmap.html", "HTML", 72, 0, 0, 0, 0, 0, 0, 0, 1, 73
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\roadmap\roadmap.css", "PostCSS", 0, 0, 0, 100, 0, 0, 0, 0, 18, 118
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\roadmap\roadmap.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 1, 2, 12
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\page\settings.html", "HTML", 200, 0, 0, 0, 0, 0, 0, 0, 7, 207
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\script.js", "JavaScript", 0, 1043, 0, 0, 0, 0, 0, 181, 183, 1407
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\sviazi.html", "HTML", 611, 0, 0, 0, 0, 0, 0, 0, 82, 693
"c:\Users\eenot\Documents\GitHub\EEditor-WS.github.io\zachary_world_vg_ww2.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"Total", "-", 6125, 21653, 404, 8433, 2101, 6468, 74, 2958, 4446, 52662
